               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,            0.031645,           0.0088323,                   0,             0.89214,             0.98913,             0.96658,             0.66545,            0.022842,           0.0051984,                   0,           0.0027009,           0.0027009,            0.049201
                 134,             0.03111,           0.0075673,                   0,             0.92857,             0.98909,             0.96651,             0.63062,            0.027826,           0.0050328,                   0,           0.0026908,           0.0026908,            0.048791
                 135,            0.031712,           0.0089091,                   0,             0.92776,             0.97826,             0.97043,             0.67205,            0.026587,           0.0049462,                   0,           0.0026802,           0.0026802,             0.04838
                 136,             0.03611,           0.0085311,                   0,             0.94668,             0.96739,             0.97931,             0.56479,            0.031474,           0.0049846,                   0,           0.0026693,           0.0026693,            0.047969
                 137,            0.034463,           0.0080763,                   0,             0.93665,             0.96739,             0.98189,             0.71333,            0.025826,           0.0048548,                   0,            0.002658,            0.002658,            0.047558
                 138,            0.035239,           0.0074158,                   0,             0.92783,             0.97818,             0.97839,             0.52784,            0.029941,            0.004998,                   0,           0.0026463,           0.0026463,            0.047146
                 139,            0.036693,            0.009161,                   0,             0.95789,             0.98903,             0.99043,             0.70066,            0.024297,           0.0049217,                   0,           0.0026342,           0.0026342,            0.046734
                 140,            0.034941,           0.0088313,                   0,             0.94728,             0.97826,             0.98688,             0.67153,            0.024274,           0.0049841,                   0,           0.0026218,           0.0026218,            0.046322
                 141,             0.02976,           0.0095223,                   0,             0.96744,             0.97826,             0.99102,             0.71151,            0.022126,           0.0048315,                   0,           0.0026089,           0.0026089,            0.045909
                 142,            0.028076,           0.0081166,                   0,             0.97802,             0.96724,             0.99024,             0.70177,             0.02323,           0.0047692,                   0,           0.0025957,           0.0025957,            0.045496
                 143,            0.033563,           0.0079931,                   0,             0.95503,             0.97826,             0.98976,             0.53027,             0.03272,           0.0049752,                   0,           0.0025822,           0.0025822,            0.045082
